ID,Contract_address,File_name,Solc_version,Tx_num,Tx_in_num,Tx_all_num,Balance
55,0xed5f43902e07c99f2f19e53368ac3b6d50212d97,SushiSwap__2.sol,0.7.2,19,0,19,0
56,0xaa6738bed711279386cd8bc36b1cde1da20bf557,CoreRemix.sol,0.7.2,3,0,3,0
57,0x49f8aa0ac5cf3cdc9a363237d298ce9b2e4c385f,BullRallyFinance.sol,0.7.2,2,0,2,0
58,0x53a461dc73761578cf3b5ab06e5fc9289281affe,QuickscopeVote.sol,0.7.2,179,0,179,0
59,0x3797e27d486873cbd9f36758cec27b27bb525e25,DripCrowdsale.sol,0.7.2,2,0,2,0
60,0xc04e4fc8b9efdef1badd0430497c5f99410ee66e,DripToken.sol,0.7.2,4,0,4,0
61,0xc46eb8b34b4ec15f0de68c24e4aca2cc7f0d2bb0,YFIECFarm.sol,0.7.1,3,0,3,0
62,0xde4a689ced1a194095e7982a8e3dfbebb95b6adb,YFIECFarm__2.sol,0.7.1,3,0,3,0
63,0xeb66f7377ea875b5875d3385e6834f54e93a4532,YFIECFarm__3.sol,0.7.1,3,0,3,0
64,0x655af27fd486ac6acb67ccf760e180421930276f,MiningPool.sol,0.7.1,520,0,520,0
65,0x5f4356a1bb1fa2c4cec5a52e933bd9b64bfa6f48,SimpleERC20Token.sol,0.7.1,229,0,229,0
66,0x26d73252d2b375f142c731fc85c9876ead1027b3,DCBet.sol,0.7.1,117,0,117,0
67,0xc0dfa71d5055e452bf48e2b4b22bd09ce221b860,YFIECFarm__5.sol,0.7.1,6,0,6,0
68,0x7d4d4f8381a7d53d180cfeddfbf0b15a91ca2879,YFIECFarm__6.sol,0.7.1,13,0,13,0
69,0xee75c820ff5c88f4129cc1318bb50c7d4183107f,YFIECFarm__7.sol,0.7.1,5,0,5,0
70,0x05fbbb3c4819d544df65057ea04172976809c578,YFIECFarm__8.sol,0.7.1,3,0,3,0
71,0xd0f39ef9b415c0e112fc24d38de0eaa8b3d51388,Souls.sol,0.7.1,175,0,175,0
72,0x19814704f5747b273e9b3429c65356812683ba74,SoulsHarvest.sol,0.7.1,15,0,15,0
73,0xced83c64f81181937691cd1d0229fbae63f2c1ff,HappyFarmToken.sol,0.7.1,26,0,26,0
74,0x6A532b08c654A1A86069b74C560d8Fa0ff842218,ERC20__44.sol,0.7.1,226,0,226,0
75,0x91a5f1e760352eb734eae8487d798856e645d1ee,CulaProject.sol,0.7.1,3,0,3,0
76,0x96184d9c811ea0624fc30c80233b1d749b9e485b,BaseToken.sol,0.7.1,2348,0,2348,0
77,0x0233421a43929a0B98Eea6726c67fdeF713CEe96,AwwAirdrop.sol,0.7.1,229,0,229,0
78,0x79c75e2e8720b39e258f41c37cc4f309e0b0ff80,PhantasmaToken.sol,0.7.1,7919,0,7919,0
